Elevation Metric ID,Activity ID,Total Ascent,Total Descent,Min Elevation,Max Elevation
EM1,8,183,192,164,311
EM2,10,8,8,63,73
EM3,11,1,2,63,67
EM4,12,55,55,92,155
EM5,13,77,78,102,175
EM6,15,198,205,118,175
EM7,16,34,44,100,140
EM8,17,89,79,111,181
EM9,18,48,51,125,181
EM10,19,91,96,102,160
EM11,20,89,94,126,162
EM12,22,51,58,125,163
EM13,23,56,74,125,169
EM14,24,167,168,125,186
EM15,25,40,38,124,154
EM16,26,73,78,94,136
EM17,27,68,78,102,137
EM18,30,62,22,,45
EM19,31,33,30,97,133
EM20,33,126,123,97,209
EM21,35,57,58,125,158
EM22,36,42,35,98,133
EM23,37,61,41,98,135
EM24,38,52,54,102,143
EM25,40,50,49,92,135
EM26,41,73,76,126,173
EM27,42,326,328,5,174
EM28,45,197,294,6,158
EM29,46,514,552,194,310
EM30,47,13,29,126,156
EM31,48,46,43,100,135
EM32,49,235,70,-38,143
EM33,50,109,116,102,145
EM34,51,107,103,116,166
EM35,52,147,151,112,193
EM36,53,210,223,204,285
EM37,55,60,68,97,154
EM38,56,116,126,101,163
EM39,57,200,245,100,221
EM40,59,55,70,114,163
EM41,60,151,155,98,177
EM42,62,118,85,102,167
EM43,63,48,53,102,135
EM44,64,55,53,104,147
EM45,65,52,52,100,140
EM46,67,48,51,98,133
EM47,68,98,106,100,148
EM48,70,29,35,103,133
EM49,73,23,24,108,136
EM50,75,61,42,128,163
EM51,85,313,332,24,207
EM52,88,35,106,125,200
EM53,89,42,42,75,176
EM54,90,143,152,118,178
EM55,92,15,12,116,157
EM56,93,459,460,104,196
EM57,94,91,85,91,139
EM58,95,32,40,99,137
EM59,96,82,64,96,147
EM60,97,67,62,104,148
EM61,99,39,37,113,163
EM62,100,144,90,94,189
EM63,102,44,43,145,162
EM64,109,174,181,90,208
EM65,111,39,24,111,152
EM66,113,456,489,-266,162
EM67,114,96,96,142,163
EM68,115,29,29,115,135
EM69,117,61,68,105,171
EM70,118,48,53,92,135
EM71,121,43,30,116,148
EM72,122,72,79,99,156
EM73,123,32,43,111,135
EM74,126,43,46,97,135
EM75,145,30,39,51,73
EM76,147,44,58,51,75
EM77,153,9,5,1,13
EM78,154,25,2,212,238
EM79,159,66,55,207,227
EM80,165,390,214,,
EM81,166,575,610,,
EM82,167,84,84,206,220
EM83,170,52,57,206,219
EM84,171,83,82,205,219
EM85,176,79,85,205,219
EM86,178,80,85,205,219
EM87,179,123,88,179,229
EM88,180,107,108,205,220
EM89,183,31,36,210,218
EM90,184,23,29,205,220
EM91,185,85,92,205,220
EM92,186,39,42,205,220
EM93,187,91,96,206,225
EM94,188,77,70,211,231
EM95,192,0,3,206,219
EM96,194,50,51,540,574
EM97,195,137,143,205,220
EM98,196,75,86,205,219
EM99,197,82,75,205,219
EM100,199,38,40,205,219
EM101,200,10,12,211,218
EM102,201,78,74,205,220
EM103,202,108,105,205,219
EM104,204,89,88,206,219
EM105,205,91,93,205,219
EM106,206,67,57,206,219
EM107,207,40,39,206,220
EM108,208,69,69,205,219
EM109,209,17,13,68,85
EM110,211,40,40,45,79
EM111,213,478,464,115,219
EM112,214,17,16,67,85
EM113,215,7,7,64,70
EM114,216,88,86,205,221
EM115,217,63,62,542,579
EM116,220,56,55,542,579
EM117,226,415,369,,
EM118,227,650,771,,
EM119,233,98,107,206,219
EM120,235,102,101,205,220
EM121,237,79,81,205,220
EM122,239,89,89,205,219
EM123,242,92,85,205,219
EM124,243,60,62,543,579
EM125,246,66,65,543,579
EM126,249,89,92,541,586
EM127,250,1,3,561,565
EM128,251,63,59,542,579
EM129,252,1,1,559,561
EM130,254,70,66,206,219
EM131,255,118,124,205,219
EM132,256,27,27,210,218
EM133,257,28,29,560,570
EM134,258,99,98,206,219
EM135,259,31,29,206,219
EM136,260,46,55,205,219
EM137,261,16,14,69,85
EM138,262,16,20,,14
EM139,263,14,14,62,73
EM140,264,60,64,70,96
EM141,265,20,23,137,148
EM142,266,40,45,45,79
EM143,267,169,181,116,219
EM144,268,184,188,116,219
EM145,270,18,16,68,85
EM146,271,17,13,66,85
EM147,272,8,8,64,73
EM148,273,17,13,66,85
EM149,274,9,10,63,73
EM150,275,3,3,65,67
EM151,276,2,2,65,67
EM152,277,2,2,63,69
EM153,284,9,11,210,218
EM154,301,13,13,212,221
EM155,302,5,6,80,87
EM156,304,17,14,212,222
EM157,305,17,19,212,222
EM158,307,41,41,207,225
EM159,308,25,25,207,224
EM160,309,10,11,206,219
EM161,310,31,32,209,222
EM162,312,42,42,204,235
EM163,313,4,4,209,222
EM164,314,18,14,552,566
EM165,315,41,37,550,568
EM166,318,53,61,543,579
EM167,319,24,23,552,570
EM168,321,17,16,551,565
EM169,322,43,51,543,579
EM170,323,81,80,540,582
EM171,328,55,55,540,573
EM172,329,59,58,540,574
EM173,331,35,32,543,565
EM174,332,24,24,551,565
EM175,337,34,37,552,585
EM176,340,26,30,552,586
EM177,342,31,36,553,585
EM178,345,36,37,552,585
EM179,349,26,24,553,581
EM180,350,34,36,553,586
EM181,356,680,682,,
EM182,357,,,,
EM183,358,90,88,540,582
EM184,360,24,37,551,574
EM185,361,39,658,,
EM186,362,668,61,,
EM187,365,89,85,540,582
EM188,366,82,82,540,582
EM189,367,34,34,553,586
EM190,368,90,89,540,580
EM191,370,9,9,559,566
EM192,371,86,85,540,582
EM193,374,31,31,550,566
EM194,375,8,8,560,565
EM195,376,39,39,553,586
EM196,378,61,59,551,580
EM197,379,65,67,539,567
EM198,380,28,32,553,585
EM199,381,45,49,552,586
EM200,382,30,25,552,567
EM201,383,31,36,553,586
EM202,384,14,13,65,73
EM203,385,16,18,67,85
EM204,386,34,34,67,96
EM205,387,11,12,45,59
EM206,388,19,21,35,46
EM207,391,53,18,36,80
EM208,392,16,16,45,59
EM209,393,28,26,45,72
EM210,394,80,77,46,112
EM211,395,51,50,45,76
EM212,396,233,232,66,187
EM213,399,111,110,99,173
EM214,401,153,155,97,168
EM215,402,21,22,65,73
EM216,403,2,4,65,70
EM217,404,208,203,73,110
EM218,405,149,123,39,89
EM219,406,183,164,32,83
EM220,407,157,162,46,66
EM221,408,17,19,34,46
EM222,409,61,61,45,108
EM223,410,49,48,34,79
EM224,411,28,14,552,574
EM225,412,22,17,552,566
EM226,413,25,26,552,565
