Lap ID,Activity ID,Best Lap Time (min),Number of Laps,Total Distance (km),Lap Distance (km),Moving Time (min),Elapsed Time (min)
LAP1,1,1.49,6,5.26,0.8766666666666666,30.1,30.13
LAP2,2,0.78,6,5.12,0.8533333333333334,30.23,30.33
LAP3,3,0.04,6,5.01,0.835,30.02,30.2
LAP4,4,5.19,5,4.8,0.96,29.63,30.32
LAP5,5,1.35,6,5.15,0.8583333333333334,31.12,31.17
LAP6,6,3.09,6,5.43,0.9049999999999999,30.55,31.22
LAP7,7,5.9,5,4.99,0.998,30.3,30.38
LAP8,8,5.59,6,5.92,0.9866666666666667,41.15,43.03
LAP9,9,0.45,8,6.88,0.86,40.25,40.45
LAP10,10,3.57,6,5.26,0.8766666666666666,36.23,41.67
LAP11,11,1.3,6,4.81,0.8016666666666666,30.27,31.3
LAP12,12,0.01,10,8.21,0.8210000000000001,47.78,48.02
LAP13,13,0.02,9,6.96,0.7733333333333333,37.92,38.02
LAP14,14,0.15,7,5.18,0.74,29.97,30.15
LAP15,15,0.04,11,10.01,0.91,55.67,55.95
LAP16,16,0.0,7,5.23,0.7471428571428572,29.97,30.02
LAP17,17,0.1,6,4.72,0.7866666666666666,48.22,55.55
LAP18,18,0.03,9,7.63,0.8477777777777777,42.8,43.03
LAP19,19,0.07,10,8.08,0.808,44.92,45.07
LAP20,20,2.8,8,7.48,0.935,45.77,45.88
LAP21,21,0.68,8,7.11,0.88875,42.42,42.67
LAP22,22,1.92,10,8.8,0.8800000000000001,50.58,50.62
LAP23,23,0.01,10,8.82,0.882,48.3,49.02
LAP24,24,0.14,10,8.38,0.8380000000000001,50.63,51.13
LAP25,25,1.52,7,6.2,0.8857142857142858,35.85,36.13
LAP26,26,0.08,9,7.32,0.8133333333333334,43.78,44.08
LAP27,27,0.13,13,7.63,0.5869230769230769,41.17,42.13
LAP28,28,0.03,7,5.4,0.7714285714285715,29.92,30.03
LAP29,29,3.53,9,8.63,0.958888888888889,46.65,47.9
LAP30,30,5.28,7,6.91,0.9871428571428572,39.15,41.75
LAP31,31,0.02,8,6.68,0.835,32.97,33.02
LAP32,33,0.01,8,6.43,0.80375,35.95,36.0
LAP33,35,0.02,11,9.61,0.8736363636363635,53.8,54.02
LAP34,36,0.05,7,5.94,0.8485714285714286,33.02,33.05
LAP35,37,0.06,7,5.91,0.8442857142857143,29.37,30.05
LAP36,38,0.06,10,8.73,0.873,48.03,48.07
LAP37,40,0.01,10,8.89,0.889,49.97,50.02
LAP38,41,0.06,10,8.55,0.8550000000000001,49.93,50.05
LAP39,42,1.02,8,6.71,0.83875,47.13,48.77
LAP40,45,0.06,9,7.4,0.8222222222222223,51.38,52.05
LAP41,46,3.86,7,6.3,0.9,42.77,46.85
LAP42,47,0.95,5,4.19,0.8380000000000001,24.58,24.62
LAP43,48,0.03,7,5.36,0.7657142857142858,29.87,30.03
LAP44,49,0.93,9,7.86,0.8733333333333334,43.68,43.93
LAP45,50,1.79,8,7.03,0.87875,39.0,39.03
LAP46,51,5.58,8,7.92,0.99,50.03,50.18
LAP47,52,4.4,4,3.78,0.945,19.32,19.33
LAP48,53,2.16,10,9.03,0.9029999999999999,53.58,58.93
LAP49,54,6.03,4,3.99,0.9975,24.27,24.82
LAP50,55,3.82,6,5.75,0.9583333333333334,31.65,31.68
LAP51,56,5.64,9,8.93,0.9922222222222222,54.23,56.45
LAP52,57,4.69,5,4.87,0.974,28.07,28.17
LAP53,58,5.42,4,3.86,0.965,23.02,23.3
LAP54,59,4.47,4,3.79,0.9475,22.67,22.8
LAP55,60,0.18,8,6.02,0.7525,33.67,33.7
LAP56,62,0.01,11,4.59,0.41727272727272724,24.05,24.32
LAP57,63,0.03,9,4.53,0.5033333333333334,25.02,25.08
LAP58,64,0.97,7,4.38,0.6257142857142857,23.18,23.55
LAP59,65,0.07,6,5.01,0.835,28.08,28.18
LAP60,67,1.32,6,5.25,0.875,28.83,28.98
LAP61,68,2.64,5,4.51,0.9019999999999999,24.87,24.9
LAP62,70,0.88,5,4.08,0.8160000000000001,23.25,23.25
LAP63,73,1.53,5,4.2,0.8400000000000001,25.67,25.78
LAP64,75,3.05,4,3.36,0.84,20.68,21.33
LAP66,78,4.21,3,2.75,0.9166666666666666,15.55,15.55
LAP67,79,3.22,3,2.54,0.8466666666666667,15.55,15.63
LAP68,82,1.17,3,2.18,0.7266666666666667,13.67,13.78
LAP69,84,4.3,2,1.68,0.84,10.82,11.08
LAP70,85,0.16,13,11.66,0.8969230769230769,64.87,66.05
LAP71,86,0.72,11,8.43,0.7663636363636364,45.15,45.72
LAP72,87,0.09,9,5.64,0.6266666666666666,33.38,34.02
LAP73,88,0.29,13,9.9,0.7615384615384616,52.4,52.62
LAP74,89,0.01,11,7.13,0.6481818181818182,42.58,45.08
LAP75,90,0.01,38,8.54,0.22473684210526312,47.9,48.13
LAP76,91,1.0,7,5.57,0.7957142857142857,30.0,30.0
LAP77,92,0.15,34,5.05,0.14852941176470588,28.95,29.65
LAP78,93,0.37,9,6.93,0.77,39.92,40.37
LAP79,94,0.53,10,7.22,0.722,42.27,45.53
LAP80,95,0.05,8,6.01,0.75125,40.03,40.05
LAP81,96,0.06,9,6.82,0.7577777777777778,37.82,38.4
LAP82,97,0.02,9,6.66,0.74,38.3,39.18
LAP83,98,0.52,11,9.05,0.8227272727272728,55.17,55.52
LAP84,99,0.01,28,5.91,0.21107142857142858,36.63,36.88
LAP85,100,2.93,9,7.95,0.8833333333333333,45.78,47.93
LAP86,102,1.3,6,5.11,0.8516666666666667,27.93,28.07
LAP87,103,6.0,5,4.25,0.85,28.58,41.45
LAP88,105,5.79,2,1.89,0.945,12.7,12.85
LAP89,109,2.79,14,12.76,0.9114285714285714,79.12,80.0
LAP90,111,0.33,26,5.99,0.23038461538461538,35.23,36.07
LAP91,113,2.28,10,8.98,0.898,49.97,50.0
LAP92,114,1.07,7,5.87,0.8385714285714286,31.02,31.17
LAP93,115,0.5,19,6.46,0.34,38.33,38.37
LAP94,117,1.0,21,5.69,0.27095238095238094,33.13,33.45
LAP95,118,1.99,10,8.04,0.8039999999999999,49.65,49.83
LAP96,120,5.0,6,5.85,0.975,34.3,35.0
LAP97,121,0.1,20,3.43,0.1715,20.7,22.38
LAP98,122,1.45,6,4.8,0.7999999999999999,29.88,30.03
LAP99,123,0.12,4,1.62,0.405,0.14,9.0
LAP100,126,0.08,7,6.01,0.8585714285714285,34.9,35.17
LAP101,130,6.18,5,4.64,0.9279999999999999,29.98,32.0
LAP102,133,2.34,6,5.19,0.8650000000000001,33.63,34.38
LAP103,134,0.04,6,5.01,0.835,34.55,43.12
LAP104,136,1.43,5,4.03,0.806,28.9,34.63
LAP105,137,6.36,5,4.8,0.96,31.75,33.48
LAP106,138,3.26,6,5.1,0.85,32.62,35.33
LAP107,139,4.49,6,4.89,0.815,31.6,35.55
LAP108,140,6.18,4,3.79,0.9475,24.03,25.42
LAP109,142,6.24,3,2.75,0.9166666666666666,18.85,25.73
LAP110,143,5.3,4,3.16,0.79,20.78,24.4
LAP111,144,6.1,4,3.69,0.9225,23.32,24.6
LAP112,145,0.02,7,5.02,0.7171428571428571,30.05,30.07
LAP113,146,0.1,10,8.04,0.8039999999999999,54.07,54.1
LAP114,147,0.13,9,6.29,0.6988888888888889,38.05,38.13
LAP115,148,0.86,5,4.07,0.8140000000000001,27.1,27.88
LAP116,150,3.78,3,2.49,0.8300000000000001,16.42,16.75
LAP117,151,3.97,2,1.52,0.76,9.37,10.08
LAP118,152,1.46,5,4.24,0.8480000000000001,26.03,26.07
LAP119,153,0.1,7,5.07,0.7242857142857143,30.05,30.1
LAP120,154,5.51,6,5.09,0.8483333333333333,30.12,35.32
LAP121,159,0.01,10,9.0,0.9,0.0,65.88
LAP122,167,5.88,5,4.36,0.8720000000000001,28.37,31.95
LAP123,170,6.54,5,4.67,0.9339999999999999,36.55,41.3
LAP124,171,5.0,6,5.44,0.9066666666666667,36.15,39.43
LAP125,174,5.79,5,4.91,0.982,32.37,32.38
LAP126,176,0.13,6,4.73,0.7883333333333334,33.9,34.13
LAP127,178,1.01,8,5.66,0.7075,36.22,39.02
LAP128,179,3.35,7,6.02,0.86,40.07,40.13
LAP129,180,1.27,6,4.61,0.7683333333333334,33.77,34.03
LAP130,183,2.45,6,5.42,0.9033333333333333,32.93,32.97
LAP131,184,1.23,5,4.2,0.8400000000000001,26.6,26.62
LAP132,185,0.18,6,5.03,0.8383333333333334,31.63,31.65
LAP133,186,0.08,6,4.56,0.7599999999999999,30.05,30.08
LAP134,187,5.14,10,10.0,1.0,56.43,56.48
LAP135,188,1.39,9,8.02,0.8911111111111111,51.15,51.38
LAP136,190,0.07,7,6.01,0.8585714285714285,39.07,39.08
LAP137,192,0.17,6,4.76,0.7933333333333333,30.15,30.17
LAP138,193,0.82,7,5.4,0.7714285714285715,32.77,34.12
LAP139,194,0.13,6,5.01,0.835,30.27,30.55
LAP140,195,0.44,8,6.4,0.8,41.33,41.43
LAP141,196,0.04,6,4.67,0.7783333333333333,30.03,30.05
LAP142,197,0.09,6,4.83,0.805,29.97,30.1
LAP143,198,0.0,1,8.0,8.0,0.0,0.0
LAP144,199,0.05,6,5.01,0.835,30.25,30.32
LAP145,200,0.46,5,4.03,0.806,25.53,25.87
LAP146,201,6.89,4,3.77,0.9425,32.32,35.1
LAP147,202,0.05,7,5.38,0.7685714285714286,32.82,33.05
LAP148,203,3.26,4,3.53,0.8825,20.87,20.9
LAP149,204,0.21,6,5.02,0.8366666666666666,31.65,31.67
LAP150,205,0.06,6,5.01,0.835,30.37,30.4
LAP151,206,0.12,6,4.54,0.7566666666666667,30.03,30.12
LAP152,207,1.13,4,3.1,0.775,19.9,19.92
LAP153,208,0.1,7,5.15,0.7357142857142858,30.08,30.1
LAP154,209,0.1,10,7.6,0.76,43.07,43.1
LAP155,211,4.85,8,6.98,0.8725,41.95,49.83
LAP156,214,0.08,9,7.68,0.8533333333333333,43.93,44.08
LAP157,215,2.34,6,5.04,0.84,29.55,31.82
LAP158,216,0.14,6,4.46,0.7433333333333333,29.98,30.13
LAP159,217,5.56,6,5.15,0.8583333333333334,33.3,38.25
LAP160,220,1.64,6,5.11,0.8516666666666667,30.43,31.1
LAP161,233,0.09,6,4.93,0.8216666666666667,30.07,30.1
LAP162,235,6.39,6,5.46,0.91,38.83,40.18
LAP163,237,6.34,5,4.63,0.9259999999999999,32.2,34.98
LAP164,239,3.95,6,5.43,0.9049999999999999,35.82,36.95
LAP165,242,0.1,6,4.47,0.745,30.08,30.23
LAP166,243,4.86,5,4.84,0.968,27.82,27.95
LAP167,246,3.98,6,5.1,0.85,28.28,32.45
LAP168,249,0.22,10,7.54,0.754,0.0,54.42
LAP169,251,5.98,6,5.16,0.86,0.0,40.55
LAP170,254,0.06,8,4.61,0.57625,0.0,30.22
LAP171,255,1.0,22,5.78,0.26272727272727275,0.0,40.67
LAP172,256,1.54,7,4.72,0.6742857142857143,0.0,32.4
LAP173,257,0.19,20,3.49,0.17450000000000002,0.0,26.67
LAP174,258,0.18,7,4.62,0.66,0.0,30.18
LAP175,259,0.11,5,2.32,0.46399999999999997,0.0,15.2
LAP176,260,2.79,3,2.46,0.82,0.0,14.32
LAP177,261,0.13,9,7.36,0.8177777777777778,0.0,43.93
LAP178,262,2.84,10,9.03,0.9029999999999999,0.0,52.18
LAP179,263,0.1,8,6.97,0.87125,0.0,42.1
LAP180,264,0.04,8,6.59,0.82375,38.98,39.03
LAP181,265,3.4,8,7.22,0.9025,42.38,42.4
LAP182,266,0.11,8,6.55,0.81875,36.0,36.1
LAP183,270,2.12,8,7.36,0.92,40.73,40.77
LAP184,271,0.99,9,7.46,0.8288888888888889,43.03,43.1
LAP185,272,0.11,6,5.0,0.8333333333333334,29.58,30.12
LAP186,273,0.99,9,7.39,0.8211111111111111,42.7,42.75
LAP187,274,5.53,5,4.87,0.974,30.52,31.68
LAP188,275,0.19,6,5.02,0.8366666666666666,29.32,29.33
LAP189,276,0.21,5,4.03,0.806,25.3,25.42
LAP190,277,4.0,4,3.39,0.8475,22.57,23.7
LAP191,282,2.54,5,4.07,0.8140000000000001,29.2,31.13
LAP192,284,2.87,6,5.44,0.9066666666666667,34.3,34.43
LAP193,291,5.75,6,5.17,0.8616666666666667,31.7,37.62
LAP194,295,5.12,5,4.89,0.978,28.38,28.4
LAP195,301,4.19,5,4.73,0.9460000000000001,27.08,27.47
LAP196,302,5.51,5,4.95,0.99,29.7,29.72
LAP197,303,0.33,6,5.06,0.8433333333333333,29.7,29.77
LAP198,304,4.77,5,4.77,0.954,28.3,28.32
LAP199,305,3.52,5,4.64,0.9279999999999999,25.73,25.83
LAP200,306,5.53,5,4.89,0.978,29.7,29.72
LAP201,307,5.5,5,4.91,0.982,29.82,30.22
LAP202,308,4.24,5,4.78,0.9560000000000001,26.28,26.28
LAP203,309,0.18,4,3.03,0.7575,16.77,16.78
LAP204,310,4.15,5,4.74,0.9480000000000001,27.7,27.72
LAP205,311,4.72,6,5.73,0.9550000000000001,35.52,35.62
LAP206,312,1.18,7,6.2,0.8857142857142858,34.72,35.12
LAP207,313,0.72,4,3.11,0.7775,15.97,16.02
LAP208,314,1.95,6,5.4,0.9,28.48,28.52
LAP209,315,2.08,6,5.4,0.9,28.35,28.38
LAP210,316,4.08,6,5.69,0.9483333333333334,33.17,33.23
LAP211,318,0.09,6,5.01,0.835,28.75,29.05
LAP212,319,0.83,7,6.15,0.8785714285714287,34.7,34.8
LAP213,321,1.28,6,5.24,0.8733333333333334,25.98,27.6
LAP214,322,5.01,5,4.83,0.966,32.12,32.13
LAP215,323,3.26,8,7.62,0.9525,41.88,41.92
LAP216,328,0.1,6,5.02,0.8366666666666666,26.82,26.93
LAP217,329,3.88,6,5.7,0.9500000000000001,31.07,31.18
LAP218,330,3.63,2,1.45,0.725,8.43,11.87
LAP219,331,1.16,7,6.22,0.8885714285714286,33.97,34.28
LAP220,332,0.53,6,5.11,0.8516666666666667,26.9,26.93
LAP221,337,1.22,8,7.22,0.9025,40.53,40.67
LAP222,340,0.93,8,7.17,0.89625,40.5,40.53
LAP223,342,0.88,8,7.15,0.89375,39.65,39.72
LAP224,345,0.94,8,7.18,0.8975,38.53,38.57
LAP225,347,3.75,6,6.0,1.0,29.37,29.9
LAP226,349,0.58,6,5.09,0.8483333333333333,30.65,30.8
LAP227,350,1.35,8,7.21,0.90125,39.17,39.23
LAP228,352,3.85,6,5.05,0.8416666666666667,27.05,32.22
LAP229,353,0.15,9,8.03,0.8922222222222221,40.22,40.42
LAP230,358,3.12,8,7.6,0.95,40.83,41.28
LAP231,360,3.65,8,7.71,0.96375,43.13,43.15
LAP232,364,2.52,10,8.07,0.807,47.17,47.22
LAP233,365,1.1,9,8.22,0.9133333333333334,39.82,39.9
LAP234,366,0.5,20,7.52,0.376,44.57,48.35
LAP235,367,2.28,9,7.36,0.8177777777777778,38.77,42.15
LAP236,368,0.03,20,17.92,0.8960000000000001,104.03,105.03
LAP237,370,0.05,29,5.33,0.18379310344827587,31.9,33.05
LAP238,371,0.01,18,7.88,0.43777777777777777,45.93,50.07
LAP239,374,0.12,11,7.62,0.6927272727272727,44.08,44.55
LAP240,375,0.08,28,4.2,0.15,26.72,31.23
LAP241,376,3.08,9,7.34,0.8155555555555556,40.03,41.27
LAP242,378,2.9,17,15.25,0.8970588235294118,94.25,97.12
LAP243,379,0.5,29,8.15,0.2810344827586207,50.82,51.0
LAP244,380,0.73,9,7.15,0.7944444444444445,39.42,39.77
LAP245,381,0.05,11,9.33,0.8481818181818181,49.93,50.0
LAP246,382,0.69,10,7.41,0.741,42.03,42.15
LAP247,383,1.33,9,7.19,0.798888888888889,39.7,40.1
LAP248,384,0.5,28,11.62,0.415,64.35,64.68
LAP249,385,3.87,9,7.86,0.8733333333333334,40.92,43.87
LAP250,386,0.35,19,16.56,0.871578947368421,90.05,90.6
LAP251,387,0.33,25,5.76,0.2304,31.75,31.8
LAP252,388,4.43,9,8.2,0.911111111111111,44.42,45.0
LAP253,389,0.35,22,6.51,0.2959090909090909,39.62,40.1
LAP254,390,2.0,2,4.5,2.25,3.92,0.07
LAP255,391,0.06,18,15.41,0.8561111111111112,84.78,85.05
LAP256,392,0.33,26,5.8,0.22307692307692306,33.62,35.5
LAP257,393,3.59,9,8.4,0.9333333333333333,49.65,50.02
LAP258,394,2.96,9,7.51,0.8344444444444444,44.03,45.0
LAP259,395,1.56,20,17.59,0.8795,97.68,100.0
LAP260,396,0.79,14,11.85,0.8464285714285714,66.77,67.03
LAP261,399,0.5,29,7.28,0.2510344827586207,46.5,54.35
LAP262,401,1.09,9,6.45,0.7166666666666667,40.03,40.6
LAP263,402,1.65,18,15.81,0.8783333333333334,87.28,92.7
LAP264,403,0.33,21,4.93,0.23476190476190475,30.12,31.25
LAP265,404,0.15,10,7.77,0.7769999999999999,39.95,40.0
LAP266,405,3.35,6,4.76,0.7933333333333333,27.45,30.0
LAP267,406,3.3,10,8.81,0.881,49.33,50.0
LAP268,407,0.03,8,5.24,0.655,30.02,30.77
LAP269,408,0.25,10,6.87,0.687,36.97,37.32
LAP270,409,4.72,7,5.96,0.8514285714285714,34.82,36.82
LAP271,410,0.09,12,9.96,0.8300000000000001,59.88,60.08
LAP272,411,0.01,7,5.36,0.7657142857142858,29.9,30.18
LAP273,412,0.58,4,1.6,0.4,0.14,9.0
LAP274,413,0.76,8,5.0,0.625,28.15,28.5
